dtc,color
1,#FE0308
2,#F54C5E
3,#F07084
4,#EC94A5
5,#F0BCCC
6,#F6D3DA
7,#86C61A
8,#B4DB29
9,#DBEA77
10,#FF7200
11,#F68A11
12,#F8A40E
13,#F3BC11
14,#f7d15a
15,#FAE50D
16,#F3F46E
17,#448A73
18,#89BEAB
19,#BCD6CD
20,#221886
21,#3E3792
22,#5D579E
23,#7C76AC
24,#9A98BF
25,#C9C8D8
26,#98C999
27,#989898
28,#123456
29,#ABCDEF
30,#FF5733
31,#00FF00
32,#FFFF00
33,#FF00FF
34,#00FFFF
35,#AABBCC
36,#112233
37,#445566
38,#778899
39,#99AABB
40,#CCDDEE
41,#556677
42,#8899AA
43,#BBCCEE
44,#FFEEDD
45,#765432
46,#DCBA98
47,#AAB2CC
,white
NA,black
