dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST,color_mgCST
9,0.8405851111556855,Lactobacillus_crispatus_1,10,0,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,10,0,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,10,0,3,#FF3333
14,0.8175721451739782,Lactobacillus_crispatus_4,10,0,4,#FF4C4C
13,0.8724524352608115,Lactobacillus_crispatus_6,10,0,5,#FF7F7F
2,0.5600729067841665,Lactobacillus_crispatus_7,10,0,6,#FF9999
15,0.8615226336749823,Lactobacillus_crispatus_8,10,0,7,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,10,0,8,#FF8C00
4,0.6235306948486403,Lactobacillus_iners_2,10,0,9,#FF9C24
5,0.6425756127054733,Lactobacillus_iners_4,10,0,10,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,10,0,11,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,10,0,12,#FFDEB6
6,0.3940245173025669,UBA629_sp005465875_1,10,0,13,#448A73
3,0.3152232455763519,Gardnerella_vaginalis_2,10,0,14,#C7C5E0
1,0.2422917250729616,MultiGenera,10,0,15,#8c8c8c
9,0.8405851111556855,Lactobacillus_crispatus_1,10,1,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,10,1,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,10,1,3,#FF3333
14,0.8175721451739782,Lactobacillus_crispatus_4,10,1,4,#FF4C4C
17,0.8320116122909413,Lactobacillus_crispatus_5,10,1,5,#FF6666
13,0.8724524352608115,Lactobacillus_crispatus_6,10,1,6,#FF7F7F
16,0.7762565985533046,Lactobacillus_crispatus_7,10,1,7,#FF9999
15,0.8615226336749823,Lactobacillus_crispatus_8,10,1,8,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,10,1,9,#FF8C00
4,0.6235306948486403,Lactobacillus_iners_2,10,1,10,#FF9C24
5,0.6425756127054733,Lactobacillus_iners_4,10,1,11,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,10,1,12,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,10,1,13,#FFDEB6
2,0.510350087242883,Lactobacillus_iners_7,10,1,14,#FFEEDA
6,0.3940245173025669,UBA629_sp005465875_1,10,1,15,#448A73
3,0.3152232455763519,Gardnerella_vaginalis_2,10,1,16,#C7C5E0
1,0.2422917250729616,MultiGenera,10,1,17,#8c8c8c
9,0.8405851111556855,Lactobacillus_crispatus_1,10,2,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,10,2,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,10,2,3,#FF3333
16,0.8175721451739782,Lactobacillus_crispatus_4,10,2,4,#FF4C4C
19,0.8320116122909413,Lactobacillus_crispatus_5,10,2,5,#FF6666
14,0.8724524352608115,Lactobacillus_crispatus_6,10,2,6,#FF7F7F
18,0.7762565985533046,Lactobacillus_crispatus_7,10,2,7,#FF9999
17,0.8615226336749823,Lactobacillus_crispatus_8,10,2,8,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,10,2,9,#FF8C00
3,0.6235306948486403,Lactobacillus_iners_2,10,2,10,#FF9C24
5,0.6425756127054733,Lactobacillus_iners_4,10,2,11,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,10,2,12,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,10,2,13,#FFDEB6
20,0.7592623851065965,Lactobacillus_iners_7,10,2,14,#FFEEDA
6,0.3940245173025669,UBA629_sp005465875_1,10,2,15,#448A73
15,0.4844488319619967,Gardnerella_vaginalis_2,10,2,16,#C7C5E0
13,0.2666854033768036,Gardnerella_swidsinkii_1,10,2,17,#827DBA
4,0.2874358016356634,Gardnerella_swidsinkii_2,10,2,18,#8E8AC0
1,0.2422917250729616,MultiGenera,10,2,19,#8c8c8c
2,0.4912641602501382,Limosilactobacillus_oris,10,2,20,#8c8c8c
9,0.8405851111556855,Lactobacillus_crispatus_1,10,3,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,10,3,2,#FF1919
6,0.8643502635506987,Lactobacillus_crispatus_3,10,3,3,#FF3333
20,0.8175721451739782,Lactobacillus_crispatus_4,10,3,4,#FF4C4C
26,0.8320116122909413,Lactobacillus_crispatus_5,10,3,5,#FF6666
18,0.8724524352608115,Lactobacillus_crispatus_6,10,3,6,#FF7F7F
24,0.7762565985533046,Lactobacillus_crispatus_7,10,3,7,#FF9999
21,0.8615226336749823,Lactobacillus_crispatus_8,10,3,8,#FFB2B2
32,0.6363056346136052,Lactobacillus_gasseri_1,10,3,9,#86BF4D
30,0.6550759289434165,Lactobacillus_gasseri_2,10,3,10,#C2DFA6
10,0.5483186717779636,Lactobacillus_iners_1,10,3,11,#FF8C00
7,0.7769133321298963,Lactobacillus_iners_2,10,3,12,#FF9C24
15,0.402193724594676,Lactobacillus_iners_2,10,3,13,#FF9C24
4,0.6425756127054733,Lactobacillus_iners_4,10,3,14,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,10,3,15,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,10,3,16,#FFDEB6
27,0.7592623851065965,Lactobacillus_iners_7,10,3,17,#FFEEDA
31,0.6945362463217604,Lactobacillus_jensenii_2,10,3,18,#FAE82B
34,0.7044081809312849,Lactobacillus_jensenii_3,10,3,19,#FBEB49
5,0.3940245173025669,UBA629_sp005465875_1,10,3,20,#448A73
22,0.3226739570313777,UBA629_sp005465875_3,10,3,21,#8EB8AB
25,0.4103114120141257,UBA629_sp005465875_4,10,3,22,#B4D0C7
19,0.4844488319619967,Gardnerella_vaginalis_2,10,3,23,#C7C5E0
3,0.208977104494153,Gardnerella_vaginalis_C_1,10,3,24,#B9B6D9
16,0.2666854033768036,Gardnerella_swidsinkii_1,10,3,25,#827DBA
17,0.2610554326404734,Gardnerella_swidsinkii_2,10,3,26,#8E8AC0
14,0.241133527856783,Gardnerella_swidsinkii_7,10,3,27,#CDCBE3
28,0.5253343505481927,Gardnerella_piotii_1,10,3,28,#3D3495
2,0.4378478305734926,Bifidobacterium_breve_2,10,3,29,#D5FFD5
1,0.240539396348035,MultiGenera,10,3,30,#8c8c8c
13,0.2033299953033036,MultiGenera,10,3,31,#8c8c8c
29,0.4651729581806886,Lactobacillus_paragasseri_1,10,3,32,#0D4018
23,0.392122802974128,Limosilactobacillus_oris,10,3,33,#8c8c8c
33,0.580188131808472,Lactobacillus_mulieris_1,10,3,34,#A16060
7,0.8405851111556855,Lactobacillus_crispatus_1,10,4,1,#FF0000
8,0.8117584386405232,Lactobacillus_crispatus_2,10,4,2,#FF1919
4,0.8643502635506987,Lactobacillus_crispatus_3,10,4,3,#FF3333
21,0.8175721451739782,Lactobacillus_crispatus_4,10,4,4,#FF4C4C
31,0.8320116122909413,Lactobacillus_crispatus_5,10,4,5,#FF6666
17,0.8724524352608115,Lactobacillus_crispatus_6,10,4,6,#FF7F7F
27,0.7762565985533046,Lactobacillus_crispatus_7,10,4,7,#FF9999
22,0.8615226336749823,Lactobacillus_crispatus_8,10,4,8,#FFB2B2
44,0.6363056346136052,Lactobacillus_gasseri_1,10,4,9,#86BF4D
41,0.6550759289434165,Lactobacillus_gasseri_2,10,4,10,#C2DFA6
14,0.6475698222098262,Lactobacillus_iners_1,10,4,11,#FF8C00
