dtc,meanRelabund,domTaxa,minClusterSize,deepSplit
1,0.24166353439803187,MultiGenera,10,0
2,0.5610224155493722,Lactobacillus_iners_7,10,0
3,0.298385368933536,Gardnerella_swidsinkii_1,10,0
4,0.6353300484868615,Lactobacillus_iners_2,10,0
5,0.5900384501246967,Lactobacillus_iners_1,10,0
6,0.4062212307742875,UBA629_sp005465875_1,10,0
7,0.8643502635506987,Lactobacillus_crispatus_3,10,0
8,0.6863692622376137,Lactobacillus_iners_6,10,0
9,0.849708330281197,Lactobacillus_crispatus_1,10,0
10,0.8286133861041611,Lactobacillus_crispatus_2,10,0
11,0.658188340664298,Lactobacillus_iners_4,10,0
12,0.8724524352608115,Lactobacillus_crispatus_6,10,0
13,0.8175721451739782,Lactobacillus_crispatus_4,10,0
14,0.8615226336749823,Lactobacillus_crispatus_8,10,0
1,0.24166353439803187,MultiGenera,10,1
2,0.5103484170097508,Lactobacillus_iners_3,10,1
3,0.25801678663850486,Gardnerella_swidsinkii_1,10,1
4,0.6353300484868615,Lactobacillus_iners_2,10,1
5,0.5900384501246967,Lactobacillus_iners_1,10,1
6,0.4062212307742875,UBA629_sp005465875_1,10,1
7,0.8643502635506987,Lactobacillus_crispatus_3,10,1
8,0.6863692622376137,Lactobacillus_iners_6,10,1
9,0.849708330281197,Lactobacillus_crispatus_1,10,1
10,0.8286133861041611,Lactobacillus_crispatus_2,10,1
11,0.658188340664298,Lactobacillus_iners_4,10,1
12,0.8724524352608115,Lactobacillus_crispatus_6,10,1
13,0.48004398926117625,Gardnerella_vaginalis_2,10,1
14,0.8175721451739782,Lactobacillus_crispatus_4,10,1
15,0.8615226336749823,Lactobacillus_crispatus_8,10,1
16,0.645134297554548,Lactobacillus_iners_7,10,1
17,0.7851632977693439,Lactobacillus_crispatus_7,10,1
18,0.8320116122909413,Lactobacillus_crispatus_5,10,1
1,0.22552334070809407,MultiGenera,10,2
2,0.4945024349558402,Lactobacillus_iners_3,10,2
3,0.25801678663850486,Gardnerella_swidsinkii_1,10,2
4,0.6353300484868615,Lactobacillus_iners_2,10,2
5,0.5900384501246967,Lactobacillus_iners_1,10,2
6,0.4062212307742875,UBA629_sp005465875_1,10,2
7,0.8643502635506987,Lactobacillus_crispatus_3,10,2
8,0.6863692622376137,Lactobacillus_iners_6,10,2
9,0.849708330281197,Lactobacillus_crispatus_1,10,2
10,0.8286133861041611,Lactobacillus_crispatus_2,10,2
11,0.658188340664298,Lactobacillus_iners_4,10,2
12,0.35783045477166314,UBA629_sp005465875_3,10,2
13,0.8724524352608115,Lactobacillus_crispatus_6,10,2
14,0.48004398926117625,Gardnerella_vaginalis_2,10,2
15,0.8175721451739782,Lactobacillus_crispatus_4,10,2
16,0.8615226336749823,Lactobacillus_crispatus_8,10,2
17,0.645134297554548,Lactobacillus_iners_7,10,2
18,0.7851632977693439,Lactobacillus_crispatus_7,10,2
19,0.8320116122909413,Lactobacillus_crispatus_5,10,2
20,0.7592623851065965,Lactobacillus_iners_8,10,2
1,0.25801678663850486,Gardnerella_swidsinkii_1,10,3
2,0.2131144225687814,MultiGenera,10,3
3,0.43991092035670953,Lactobacillus_paragasseri_1,10,3
4,0.2450937885005683,MultiGenera,10,3
5,0.2169865017975182,MultiGenera,10,3
6,0.5900384501246967,Lactobacillus_iners_1,10,3
7,0.7489961844224029,Lactobacillus_iners_2,10,3
8,0.4062212307742875,UBA629_sp005465875_1,10,3
9,0.8643502635506987,Lactobacillus_crispatus_3,10,3
10,0.6863692622376137,Lactobacillus_iners_6,10,3
11,0.849708330281197,Lactobacillus_crispatus_1,10,3
12,0.8286133861041611,Lactobacillus_crispatus_2,10,3
13,0.658188340664298,Lactobacillus_iners_4,10,3
14,0.35783045477166314,UBA629_sp005465875_3,10,3
15,0.40054425950525147,Lactobacillus_iners_2,10,3
16,0.8724524352608115,Lactobacillus_crispatus_6,10,3
17,0.48004398926117625,Gardnerella_vaginalis_2,10,3
18,0.37358245851404387,Limosilactobacillus_oris,10,3
19,0.8175721451739782,Lactobacillus_crispatus_4,10,3
20,0.8615226336749823,Lactobacillus_crispatus_8,10,3
21,0.645134297554548,Lactobacillus_iners_7,10,3
22,0.7851632977693439,Lactobacillus_crispatus_7,10,3
23,0.8320116122909413,Lactobacillus_crispatus_5,10,3
24,0.5954840176003064,Lactobacillus_iners_3,10,3
25,0.7592623851065965,Lactobacillus_iners_8,10,3
26,0.5275293229458854,Gardnerella_piotii_1,10,3
27,0.6550759289434165,Lactobacillus_gasseri_2,10,3
28,0.5669944694836783,Lactobacillus_mulieris_1,10,3
29,0.6114738564049654,Lactobacillus_gasseri_1,10,3
30,0.6945362463217604,Lactobacillus_jensenii_2,10,3
31,0.6961966704949683,Lactobacillus_jensenii_3,10,3
1,0.2714730793887154,Gardnerella_swidsinkii_1,10,4
2,0.376815893043107,MultiGenera,10,4
3,0.6517559225549684,Lactobacillus_iners_1,10,4
4,0.7489961844224029,Lactobacillus_iners_2,10,4
5,0.4062212307742875,UBA629_sp005465875_1,10,4
6,0.8643502635506987,Lactobacillus_crispatus_3,10,4
7,0.6863692622376137,Lactobacillus_iners_6,10,4
8,0.849708330281197,Lactobacillus_crispatus_1,10,4
9,0.8286133861041611,Lactobacillus_crispatus_2,10,4
10,0.18787867148502113,MultiGenera,10,4
11,0.658188340664298,Lactobacillus_iners_4,10,4
12,0.23896723660036567,MultiGenera,10,4
13,0.35783045477166314,UBA629_sp005465875_3,10,4
14,0.24848665566154388,Gardnerella_vaginalis_1,10,4
15,0.20523434898819623,Gardnerella_vaginalis_H_1,10,4
16,0.2166005779058909,Gardnerella_vaginalis_C_3,10,4
17,0.8724524352608115,Lactobacillus_crispatus_6,10,4
18,0.3866636882805489,Lactobacillus_iners_2,10,4
19,0.48004398926117625,Gardnerella_vaginalis_2,10,4
20,0.37358245851404387,Limosilactobacillus_oris,10,4
21,0.8175721451739782,Lactobacillus_crispatus_4,10,4
22,0.8615226336749823,Lactobacillus_crispatus_8,10,4
23,0.20266249146150228,MultiGenera,10,4
24,0.645134297554548,Lactobacillus_iners_7,10,4
25,0.2079142245339768,UBA629_sp005465875_1,10,4
26,0.7851632977693439,Lactobacillus_crispatus_7,10,4
27,0.8320116122909413,Lactobacillus_crispatus_5,10,4
28,0.2665656047893741,Gardnerella_vaginalis_C_1,10,4
29,0.24148106286510504,Lactobacillus_iners_4,10,4
30,0.3079014333005978,Lactobacillus_iners_1,10,4
31,0.23538485305096923,Gardnerella_vaginalis_C_2,10,4
32,0.5954840176003064,Lactobacillus_iners_3,10,4
33,0.7592623851065965,Lactobacillus_iners_8,10,4
34,0.5275293229458854,Gardnerella_piotii_1,10,4
35,0.4696230411886546,Lactobacillus_paragasseri_3,10,4
36,0.6550759289434165,Lactobacillus_gasseri_2,10,4
37,0.14195427124474938,MultiGenera,10,4
38,0.5669944694836783,Lactobacillus_mulieris_1,10,4
39,0.6114738564049654,Lactobacillus_gasseri_1,10,4
40,0.6945362463217604,Lactobacillus_jensenii_2,10,4
41,0.7036943111794387,Lactobacillus_jensenii_4,10,4
42,0.6961966704949683,Lactobacillus_jensenii_3,10,4
43,0.43283848035526484,Gardnerella_piotii_2,10,4
44,0.4480565053968656,Lactobacillus_paragasseri_1,10,4
45,0.8004414200618999,Bifidobacterium_breve_2,10,4
46,0.47133517275123415,Lactobacillus_jensenii_1,10,4
1,0.24166353439803187,MultiGenera,11,0
2,0.5610224155493722,Lactobacillus_iners_7,11,0
3,0.298385368933536,Gardnerella_swidsinkii_1,11,0
4,0.6353300484868615,Lactobacillus_iners_2,11,0
5,0.5900384501246967,Lactobacillus_iners_1,11,0
6,0.4062212307742875,UBA629_sp005465875_1,11,0
7,0.8643502635506987,Lactobacillus_crispatus_3,11,0
8,0.6863692622376137,Lactobacillus_iners_6,11,0
9,0.849708330281197,Lactobacillus_crispatus_1,11,0
10,0.8286133861041611,Lactobacillus_crispatus_2,11,0
11,0.658188340664298,Lactobacillus_iners_4,11,0
12,0.8724524352608115,Lactobacillus_crispatus_6,11,0
13,0.8175721451739782,Lactobacillus_crispatus_4,11,0
14,0.8615226336749823,Lactobacillus_crispatus_8,11,0
1,0.24166353439803187,MultiGenera,11,1
2,0.5103484170097508,Lactobacillus_iners_3,11,1
3,0.25801678663850486,Gardnerella_swidsinkii_1,11,1
4,0.6353300484868615,Lactobacillus_iners_2,11,1
5,0.5900384501246967,Lactobacillus_iners_1,11,1
6,0.4062212307742875,UBA629_sp005465875_1,11,1
7,0.8643502635506987,Lactobacillus_crispatus_3,11,1
8,0.6863692622376137,Lactobacillus_iners_6,11,1
9,0.849708330281197,Lactobacillus_crispatus_1,11,1
10,0.8286133861041611,Lactobacillus_crispatus_2,11,1
11,0.658188340664298,Lactobacillus_iners_4,11,1
12,0.8724524352608115,Lactobacillus_crispatus_6,11,1
13,0.48004398926117625,Gardnerella_vaginalis_2,11,1
14,0.8175721451739782,Lactobacillus_crispatus_4,11,1
15,0.8615226336749823,Lactobacillus_crispatus_8,11,1
16,0.645134297554548,Lactobacillus_iners_7,11,1
17,0.7851632977693439,Lactobacillus_crispatus_7,11,1
18,0.8320116122909413,Lactobacillus_crispatus_5,11,1
1,0.22552334070809407,MultiGenera,11,2
2,0.4945024349558402,Lactobacillus_iners_3,11,2
3,0.25801678663850486,Gardnerella_swidsinkii_1,11,2
4,0.6353300484868615,Lactobacillus_iners_2,11,2
5,0.5900384501246967,Lactobacillus_iners_1,11,2
6,0.4062212307742875,UBA629_sp005465875_1,11,2
7,0.8643502635506987,Lactobacillus_crispatus_3,11,2
8,0.6863692622376137,Lactobacillus_iners_6,11,2
9,0.849708330281197,Lactobacillus_crispatus_1,11,2
10,0.8286133861041611,Lactobacillus_crispatus_2,11,2
11,0.658188340664298,Lactobacillus_iners_4,11,2
12,0.35783045477166314,UBA629_sp005465875_3,11,2
13,0.8724524352608115,Lactobacillus_crispatus_6,11,2
14,0.48004398926117625,Gardnerella_vaginalis_2,11,2
15,0.8175721451739782,Lactobacillus_crispatus_4,11,2
16,0.8615226336749823,Lactobacillus_crispatus_8,11,2
17,0.645134297554548,Lactobacillus_iners_7,11,2
18,0.7851632977693439,Lactobacillus_crispatus_7,11,2
19,0.8320116122909413,Lactobacillus_crispatus_5,11,2
20,0.7592623851065965,Lactobacillus_iners_8,11,2
1,0.25801678663850486,Gardnerella_swidsinkii_1,11,3
2,0.2131144225687814,MultiGenera,11,3
3,0.2450937885005683,MultiGenera,11,3
4,0.43991092035670953,Lactobacillus_paragasseri_1,11,3
