dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
9,0.8405851111556855,Lactobacillus_crispatus_1,10,0,1
11,0.8117584386405232,Lactobacillus_crispatus_2,10,0,2
7,0.8643502635506987,Lactobacillus_crispatus_3,10,0,3
14,0.8175721451739782,Lactobacillus_crispatus_4,10,0,4
13,0.8724524352608115,Lactobacillus_crispatus_6,10,0,5
2,0.5600729067841665,Lactobacillus_crispatus_7,10,0,6
15,0.8615226336749823,Lactobacillus_crispatus_8,10,0,7
10,0.5483186717779636,Lactobacillus_iners_1,10,0,8
4,0.6235306948486403,Lactobacillus_iners_2,10,0,9
5,0.6425756127054733,Lactobacillus_iners_4,10,0,10
12,0.6485966884851313,Lactobacillus_iners_5,10,0,11
8,0.6829658559505328,Lactobacillus_iners_6,10,0,12
6,0.39402451730256693,UBA629_sp005465875_1,10,0,13
3,0.3152232455763519,Gardnerella_vaginalis_2,10,0,14
1,0.2422917250729616,MultiGenera,10,0,15
9,0.8405851111556855,Lactobacillus_crispatus_1,10,1,1
11,0.8117584386405232,Lactobacillus_crispatus_2,10,1,2
7,0.8643502635506987,Lactobacillus_crispatus_3,10,1,3
14,0.8175721451739782,Lactobacillus_crispatus_4,10,1,4
17,0.8320116122909413,Lactobacillus_crispatus_5,10,1,5
13,0.8724524352608115,Lactobacillus_crispatus_6,10,1,6
16,0.7762565985533046,Lactobacillus_crispatus_7,10,1,7
15,0.8615226336749823,Lactobacillus_crispatus_8,10,1,8
10,0.5483186717779636,Lactobacillus_iners_1,10,1,9
4,0.6235306948486403,Lactobacillus_iners_2,10,1,10
5,0.6425756127054733,Lactobacillus_iners_4,10,1,11
12,0.6485966884851313,Lactobacillus_iners_5,10,1,12
8,0.6829658559505328,Lactobacillus_iners_6,10,1,13
2,0.510350087242883,Lactobacillus_iners_7,10,1,14
6,0.39402451730256693,UBA629_sp005465875_1,10,1,15
3,0.3152232455763519,Gardnerella_vaginalis_2,10,1,16
1,0.2422917250729616,MultiGenera,10,1,17
9,0.8405851111556855,Lactobacillus_crispatus_1,10,2,1
11,0.8117584386405232,Lactobacillus_crispatus_2,10,2,2
7,0.8643502635506987,Lactobacillus_crispatus_3,10,2,3
16,0.8175721451739782,Lactobacillus_crispatus_4,10,2,4
19,0.8320116122909413,Lactobacillus_crispatus_5,10,2,5
14,0.8724524352608115,Lactobacillus_crispatus_6,10,2,6
18,0.7762565985533046,Lactobacillus_crispatus_7,10,2,7
17,0.8615226336749823,Lactobacillus_crispatus_8,10,2,8
10,0.5483186717779636,Lactobacillus_iners_1,10,2,9
3,0.6235306948486403,Lactobacillus_iners_2,10,2,10
5,0.6425756127054733,Lactobacillus_iners_4,10,2,11
12,0.6485966884851313,Lactobacillus_iners_5,10,2,12
8,0.6829658559505328,Lactobacillus_iners_6,10,2,13
20,0.7592623851065965,Lactobacillus_iners_7,10,2,14
6,0.39402451730256693,UBA629_sp005465875_1,10,2,15
15,0.48444883196199673,Gardnerella_vaginalis_2,10,2,16
13,0.26668540337680363,Gardnerella_swidsinkii_1,10,2,17
4,0.28743580163566346,Gardnerella_swidsinkii_2,10,2,18
1,0.2422917250729616,MultiGenera,10,2,19
2,0.4912641602501382,Limosilactobacillus_oris,10,2,20
9,0.8405851111556855,Lactobacillus_crispatus_1,10,3,1
11,0.8117584386405232,Lactobacillus_crispatus_2,10,3,2
6,0.8643502635506987,Lactobacillus_crispatus_3,10,3,3
20,0.8175721451739782,Lactobacillus_crispatus_4,10,3,4
26,0.8320116122909413,Lactobacillus_crispatus_5,10,3,5
18,0.8724524352608115,Lactobacillus_crispatus_6,10,3,6
24,0.7762565985533046,Lactobacillus_crispatus_7,10,3,7
21,0.8615226336749823,Lactobacillus_crispatus_8,10,3,8
32,0.6363056346136052,Lactobacillus_gasseri_1,10,3,9
30,0.6550759289434165,Lactobacillus_gasseri_2,10,3,10
10,0.5483186717779636,Lactobacillus_iners_1,10,3,11
7,0.7769133321298963,Lactobacillus_iners_2,10,3,12
15,0.402193724594676,Lactobacillus_iners_2,10,3,13
4,0.6425756127054733,Lactobacillus_iners_4,10,3,14
12,0.6485966884851313,Lactobacillus_iners_5,10,3,15
8,0.6829658559505328,Lactobacillus_iners_6,10,3,16
27,0.7592623851065965,Lactobacillus_iners_7,10,3,17
31,0.6945362463217604,Lactobacillus_jensenii_2,10,3,18
34,0.7044081809312849,Lactobacillus_jensenii_3,10,3,19
5,0.39402451730256693,UBA629_sp005465875_1,10,3,20
22,0.3226739570313777,UBA629_sp005465875_3,10,3,21
