,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Actinotignum_sanguinis.1,1,13,1636,599,970,1168,1633,1749,3195
Actinotignum_sanguinis.2,2,14,25416,47579,2833,3344,6618,12445,149212
Aerococcus_christensenii.1,1,235,23834,27274,2073,9089,15730,26653,212022
Aerococcus_christensenii.2,2,196,9875,11638,1807,4122,6345,9934,97899
Aerococcus_christensenii.3,3,137,54092,71171,4592,15859,31012,63044,459226
Aerococcus_christensenii.4,4,86,15893,13405,2192,6845,11511,19137,65486
Aerococcus_christensenii.5,5,77,27587,54815,1842,4651,11428,30731,451000
Aerococcus_christensenii.6,6,48,20236,17292,4369,8531,13950,24831,84209
Alloprevotella_sp905369775,1,30,11715,17389,885,3292,6997,12307,93080
Alloscardovia_omnicolens,1,25,48571,85162,2876,5145,12745,38206,327572
Alterileibacterium.1,1,10,4863,3663,902,2305,3944,7386,11676
Alterileibacterium.2,2,19,4681,4523,1330,1849,3206,6279,20706
Anaerococcus.1,1,35,9271,11840,1455,2270,4169,7477,40019
Anaerococcus.2,2,30,12402,22453,1160,2262,4498,9100,101741
Anaerococcus.3,3,29,11323,16713,1248,1788,2258,12515,63381
Anaerococcus.4,4,15,7537,8521,1114,2175,3200,9575,27925
Anaerococcus_mediterraneensis.1,1,21,15843,10624,2902,9144,12713,21169,48744
Anaerococcus_mediterraneensis.2,2,21,26909,32543,3167,5978,12534,30405,105504
Anaerococcus_prevotii,1,26,18442,22340,2143,4594,8565,20358,95331
Anaerococcus_sp900258475,1,44,13897,38682,1460,2423,3383,7253,190006
Anaerococcus_tetradius.1,1,220,21469,54067,2991,5894,9655,19286,696890
Anaerococcus_tetradius.2,2,24,23965,25500,4191,9720,17281,26837,107843
Arcanobacterium_sp000758825.1,1,138,19832,35150,1436,4893,9427,17285,257528
Arcanobacterium_sp000758825.2,2,133,2216,1739,868,1320,1780,2357,14346
Atopobacter_sp003664595.1,1,23,1714,696,922,1254,1653,1911,4157
