,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Aerococcus_christensenii.1,1,283,23224,25864,2073,8936,15558,26066,212022
Aerococcus_christensenii.2,2,196,9875,11638,1807,4122,6345,9934,97899
Aerococcus_christensenii.3,3,137,54092,71171,4592,15859,31012,63044,459226
Aerococcus_christensenii.4,4,86,15893,13405,2192,6845,11511,19137,65486
Aerococcus_christensenii.5,5,77,27587,54815,1842,4651,11428,30731,451000
Alloprevotella_sp905369775,1,23,14718,18923,3240,5036,9866,13959,93080
Alloscardovia_omnicolens,1,25,48571,85162,2876,5145,12745,38206,327572
Anaerococcus,1,2366,680,4137,0,6,41,209,101741
Anaerococcus_mediterraneensis.1,1,21,15843,10624,2902,9144,12713,21169,48744
Anaerococcus_mediterraneensis.2,2,21,26909,32543,3167,5978,12534,30405,105504
Anaerococcus_prevotii,1,25,18690,22764,2143,4309,6750,20901,95331
Anaerococcus_tetradius.1,1,23,24799,25737,4191,10711,17648,26846,107843
Anaerococcus_tetradius.2,2,184,24649,58608,3459,7218,11678,22445,696890
Arcanobacterium_sp000758825.1,1,114,19215,36510,1436,5296,9537,15508,257528
Arcanobacterium_sp000758825.2,2,110,6933,15528,1177,1779,2352,3966,86861
Atopobacter_sp003664595,1,20,18956,20830,3053,5962,11060,19660,79470
Atopobium_deltae.1,1,14,26368,45130,1999,3063,10568,31029,172874
Atopobium_deltae.2,2,29,9788,16563,1664,3280,5632,8838,90567
Bacteroides,1,1217,1223,30490,0,1,3,13,1045934
Berryella_sp001552935.1,1,635,52683,79993,1417,9879,25272,62164,866536
Berryella_sp001552935.2,2,256,39451,56152,1518,7925,19300,47493,459062
Bifidobacterium_bifidum,1,40,121885,381409,1956,3520,5208,14842,1489074
Bifidobacterium_breve.1,1,32,26348,48279,2616,3600,6594,13650,215648
Bifidobacterium_breve.2,2,31,257492,722638,2337,8707,28643,111466,3587648
Bifidobacterium_breve.3,3,23,77914,216304,1730,4184,12363,35811,1003111
CAJPTP01,1,22,4460,2988,1249,2480,3668,5454,11788
Campylobacter,1,960,508,3801,0,0,2,13,82892
Campylobacter_ureolyticus,1,33,12013,16914,2033,3522,5535,8606,72677
Candida_albicans.1,1,776,763,3597,0,6,30,250,64756
Candida_albicans.2,2,698,4,9,0,1,2,4,153
Candida_albicans.3,3,459,1,2,0,0,1,1,28
Candida_albicans.4,4,132,3,3,0,1,2,3,18
Candida_albicans.5,5,119,1,1,0,0,1,2,7
Chlamydia_trachomatis,1,24,5910,6768,953,1724,2810,6047,24018
Corynebacterium,1,2465,2057,14136,0,13,84,482,441719
Corynebacterium_amycolatum,1,56,21177,28737,2219,4428,8348,24329,125581
Corynebacterium_aurimucosum,1,33,25415,32136,3697,7258,12258,29516,140671
Corynebacterium_coyleae,1,23,51514,79419,8463,15606,22580,45200,375286
Corynebacterium_pyruviciproducens.1,1,11,40824,63041,3061,8700,23529,36300,222350
Corynebacterium_pyruviciproducens.2,2,22,8017,4379,2840,5103,6383,9776,17627
Corynebacterium_riegelii.1,1,13,37559,34612,4207,8145,25650,57405,116426
Corynebacterium_riegelii.2,2,39,24020,42648,2729,4126,13744,27410,260652
Corynebacterium_sp001767255,1,91,19879,45190,2116,3809,6508,13843,314983
Corynebacterium_spNov1.1,1,1510,28,99,0,1,5,19,1762
Corynebacterium_spNov1.2,2,294,659,1321,38,161,327,629,15652
Corynebacterium_spNov1.3,3,125,18970,58677,535,1774,3663,9722,502852
Corynebacterium_spNov1.4,4,40,3,6,0,1,1,3,29
Corynebacterium_tuscaniense.1,1,25,19148,19982,3260,5661,9073,21989,71705
Corynebacterium_tuscaniense.2,2,14,33175,31929,7294,10751,16137,39478,101667
Corynebacterium_tuscaniense.3,3,13,43460,50449,5049,8499,18103,71218,161363
Cryptobacteroides_spNov1.1,1,13,27594,40665,3461,4722,5979,29361,126393
Cryptobacteroides_spNov1.2,2,84,40148,63251,5513,14978,21727,37945,509269
Cutibacterium_acnes.1,1,46,88564,144420,3815,13091,49026,101115,756397
Cutibacterium_acnes.2,2,69,15596,16469,2658,5721,8178,17166,67584
Dialister_micraerophilus.1,1,197,15046,16579,1757,5650,10343,16908,99681
Dialister_micraerophilus.2,2,169,5859,5650,1436,2597,3913,6556,37452
Dialister_micraerophilus.3,3,143,5095,3678,1740,2820,3905,6205,20711
Dialister_micraerophilus.4,4,64,7003,7316,1516,3349,4248,7304,42346
Dialister_sp001553355.1,1,480,19415,28756,1709,6390,11182,21750,381546
Dialister_sp001553355.2,2,203,109595,151716,7219,38378,63167,114473,1355444
Dialister_sp001553355.3,3,96,17606,35823,1793,4320,9418,18275,326827
Dialister_sp900541485,1,25,23326,30642,4020,7033,10380,26989,142087
Enterococcus_faecalis.1,1,10,24500,19515,10468,14582,16788,20700,73213
Enterococcus_faecalis.2,2,32,382212,1490038,3344,6557,11451,42507,7640653
Escherichia_coli.1,1,28,51020,87210,6799,10184,17358,47547,423805
Escherichia_coli.2,2,28,153210,577865,5491,7402,26774,65286,3086430
Eubacterium_spNov1,1,32,23841,34829,2163,5004,8700,24028,172463
Ezakiella_coagulans,1,38,12145,16329,1970,4726,7431,10797,96564
Fannyhessea_massiliense.1,1,342,14048,18430,1549,3992,8091,16316,160436
Fannyhessea_massiliense.2,2,141,54371,76548,2006,14300,28099,55619,429087
Fannyhessea_massiliense.3,3,89,25037,42748,1522,4104,7555,23117,239448
