"","minClusterSize","deepSplit","AverageSilhouetteWidth","Number_of_cluster","Number_of_unassigned","Number_of_sample"
"Actinotignum_sanguinis",14,0,0.182639304028373,2,0,27
"Aerococcus_christensenii",20,0,-0.00124186917787802,6,0,779
"Alloprevotella_sp905369775",0,0,0,1,0,30
"Alloscardovia_omnicolens",0,0,0,1,0,25
"Alterileibacterium",0,0,0,1,0,29
"Anaerococcus",0,0,0,1,0,109
"Anaerococcus_mediterraneensis",20,0,0.115319814059172,2,0,42
"Anaerococcus_prevotii",0,0,0,1,0,26
"Anaerococcus_sp900258475",0,0,0,1,0,44
"Anaerococcus_tetradius",20,0,0.383106991945729,2,0,244
"Arcanobacterium_sp000758825",20,0,0.130040966540808,2,0,271
"Atopobacter_sp003664595",20,0,0.211605531881121,2,0,45
"Atopobium_deltae",20,0,0.122219368310602,2,0,43
"Bacteroides",0,0,0,1,0,20
"Berryella_sp001552935",20,0,0.242562833353061,2,0,926
"Berryella_sp900604965",0,0,0,1,0,28
"Bifidobacterium_bifidum",0,0,0,1,0,40
"Bifidobacterium_breve",20,0,0.178595271878406,3,0,82
"Brevibacterium_sp001815905",20,0,0.0896724097923776,2,0,40
"Bulleidia_spNov1",13,3,-0.0357749363481353,9,0,279
"CAJPTP01",0,0,0,1,0,22
"Campylobacter",0,0,0,1,0,45
"Campylobacter_ureolyticus",0,0,0,1,0,37
"Candida_albicans",20,0,0.133030616143187,2,0,71
"Chlamydia_trachomatis",0,0,0,1,0,24
"Corynebacterium",0,0,0,1,0,281
"Corynebacterium_amycolatum",0,0,0,1,0,56
"Corynebacterium_aurimucosum",0,0,0,1,0,33
"Corynebacterium_coyleae",0,0,0,1,0,29
"Corynebacterium_mucifaciens",20,0,0.112199646790161,2,0,40
"Corynebacterium_pyruviciproducens",20,0,0.0684266682025112,2,0,31
"Corynebacterium_riegelii",20,0,0.145329809374117,2,0,52
"Corynebacterium_sp001767255",20,0,0.0211844402500131,3,0,161
"Corynebacterium_sp001807485",20,0,0.199475156508957,2,0,41
"Corynebacterium_sp900539985",20,0,0.0715596909788277,2,0,33
"Corynebacterium_spNov1",20,0,0.176614621071906,2,0,132
"Corynebacterium_tuscaniense",14,0,0.251969627568147,3,0,58
"Cryptobacteroides_spNov1",20,0,0.708152147721177,2,0,247
"Cutibacterium_acnes",13,4,0.0591145245912608,4,0,113
"Dialister_micraerophilus",20,0,0.0245730585673763,5,0,531
"Dialister_sp001553355",20,0,0.055453751957026,4,0,868
"Dialister_sp900541485",20,0,0.0660050667459399,2,0,79
"Enterococcus_faecalis",20,0,0.146176952204766,2,0,41
"Escherichia_coli",20,0,0.317921086689111,2,0,49
"Eubacterium_spNov1",20,0,0.423779582956626,2,0,52
"Ezakiella_coagulans",20,0,0.0708109782364524,2,0,79
