Subspecies,Color
Actinotignum_sanguinis.1,#8c8c8c
Actinotignum_sanguinis.2,#8c8c8c
Aerococcus_christensenii.1,#616161
Aerococcus_christensenii.2,#7B7B7B
Aerococcus_christensenii.3,#959595
Aerococcus_christensenii.4,#B0B0B0
Aerococcus_christensenii.5,#CACACA
Aerococcus_christensenii.6,#E4E4E4
Alloprevotella_sp905369775,#8c8c8c
Alloscardovia_omnicolens,#8c8c8c
Alterileibacterium,#8c8c8c
Anaerococcus,#8c8c8c
Anaerococcus_mediterraneensis.1,#8c8c8c
Anaerococcus_mediterraneensis.2,#8c8c8c
Anaerococcus_prevotii,#8c8c8c
Anaerococcus_sp900258475,#8c8c8c
Anaerococcus_tetradius.1,#8c8c8c
Anaerococcus_tetradius.2,#8c8c8c
Arcanobacterium_sp000758825.1,#8c8c8c
Arcanobacterium_sp000758825.2,#8c8c8c
Atopobacter_sp003664595.1,#8c8c8c
Atopobacter_sp003664595.2,#8c8c8c
Atopobium_deltae.1,#8c8c8c
Atopobium_deltae.2,#8c8c8c
Bacteroides,#8c8c8c
Berryella_sp001552935.1,#FF00D9
Berryella_sp001552935.2,#FF7FEC
Berryella_sp900604965,#8c8c8c
Bifidobacterium_bifidum,#8c8c8c
Bifidobacterium_breve.1,#C1FFC1
Bifidobacterium_breve.2,#D5FFD5
Bifidobacterium_breve.3,#EAFFEA
Brevibacterium_sp001815905.1,#8c8c8c
Brevibacterium_sp001815905.2,#8c8c8c
Bulleidia_spNov1.1,#8c8c8c
Bulleidia_spNov1.2,#8c8c8c
Bulleidia_spNov1.3,#8c8c8c
Bulleidia_spNov1.4,#8c8c8c
Bulleidia_spNov1.5,#8c8c8c
Bulleidia_spNov1.6,#8c8c8c
Bulleidia_spNov1.7,#8c8c8c
Bulleidia_spNov1.8,#8c8c8c
Bulleidia_spNov1.9,#8c8c8c
CAJPTP01,#8c8c8c
Campylobacter,#8c8c8c
Campylobacter_ureolyticus,#8c8c8c
Candida_albicans.1,#8c8c8c
Candida_albicans.2,#8c8c8c
Chlamydia_trachomatis,#8c8c8c
Corynebacterium,#8c8c8c
Corynebacterium_amycolatum,#8c8c8c
Corynebacterium_aurimucosum,#8c8c8c
Corynebacterium_coyleae,#8c8c8c
Corynebacterium_mucifaciens.1,#8c8c8c
Corynebacterium_mucifaciens.2,#8c8c8c
Corynebacterium_pyruviciproducens.1,#8c8c8c
Corynebacterium_pyruviciproducens.2,#8c8c8c
Corynebacterium_riegelii.1,#8c8c8c
Corynebacterium_riegelii.2,#8c8c8c
Corynebacterium_sp001767255.1,#8c8c8c
Corynebacterium_sp001767255.2,#8c8c8c
Corynebacterium_sp001767255.3,#8c8c8c
Corynebacterium_sp001807485.1,#8c8c8c
Corynebacterium_sp001807485.2,#8c8c8c
Corynebacterium_sp900539985.1,#8c8c8c
Corynebacterium_sp900539985.2,#8c8c8c
Corynebacterium_spNov1.1,#8c8c8c
Corynebacterium_spNov1.2,#8c8c8c
Corynebacterium_tuscaniense.1,#8c8c8c
Corynebacterium_tuscaniense.2,#8c8c8c
Corynebacterium_tuscaniense.3,#8c8c8c
Cryptobacteroides_spNov1.1,#8c8c8c
Cryptobacteroides_spNov1.2,#8c8c8c
Cutibacterium_acnes.1,#4C693A
Cutibacterium_acnes.2,#788E6B
Cutibacterium_acnes.3,#A5B49C
Cutibacterium_acnes.4,#D2D9CD
Dialister_micraerophilus.1,#8c8c8c
Dialister_micraerophilus.2,#8c8c8c
Dialister_micraerophilus.3,#8c8c8c
Dialister_micraerophilus.4,#8c8c8c
Dialister_micraerophilus.5,#8c8c8c
Dialister_sp001553355.1,#045C47
Dialister_sp001553355.2,#428475
Dialister_sp001553355.3,#81ADA3
Dialister_sp001553355.4,#C0D6D1
Dialister_sp900541485.1,#8c8c8c
Dialister_sp900541485.2,#8c8c8c
Enterococcus_faecalis.1,#8c8c8c
Enterococcus_faecalis.2,#8c8c8c
Escherichia_coli.1,#8c8c8c
Escherichia_coli.2,#8c8c8c
Eubacterium_spNov1.1,#8c8c8c
Eubacterium_spNov1.2,#8c8c8c
Ezakiella_coagulans.1,#8c8c8c
Ezakiella_coagulans.2,#8c8c8c
Fannyhessea_massiliense.1,#8c8c8c
Fannyhessea_massiliense.2,#8c8c8c
Fannyhessea_massiliense.3,#8c8c8c
Fannyhessea_spNov3.1,#8c8c8c
Fannyhessea_spNov3.2,#8c8c8c
Fannyhessea_spNov3.3,#8c8c8c
Fannyhessea_spNov3.4,#8c8c8c
Fannyhessea_spNov3.5,#8c8c8c
Fannyhessea_spNov3.6,#8c8c8c
Fannyhessea_spNov3.7,#8c8c8c
Fannyhessea_spNov3.8,#8c8c8c
Fannyhessea_spNov3.9,#8c8c8c
Fannyhessea_vaginae.1,#0000CD
Fannyhessea_vaginae.2,#3F3FD9
Fannyhessea_vaginae.3,#7F7FE6
Fannyhessea_vaginae.4,#BFBFF2
Fenollaria_massiliensis.1,#8c8c8c
Fenollaria_massiliensis.2,#8c8c8c
Finegoldia_magna.1,#8c8c8c
Finegoldia_magna.2,#8c8c8c
Finegoldia_magna.3,#8c8c8c
Fusobacterium_animalis.1,#8c8c8c
Fusobacterium_animalis.2,#8c8c8c
Fusobacterium_gonidiaformans,#8c8c8c
Gardnerella,#221886
Gardnerella_leopoldii.1,#2F268D
Gardnerella_leopoldii.2,#433B98
Gardnerella_leopoldii.3,#5851A3
Gardnerella_leopoldii.4,#6D67AF
Gardnerella_leopoldii.5,#827CBA
Gardnerella_leopoldii.6,#9792C6
Gardnerella_leopoldii.7,#ABA8D1
Gardnerella_leopoldii.8,#C0BDDC
Gardnerella_leopoldii.9,#D5D3E8
Gardnerella_leopoldii.10,#EAE9F3
Gardnerella_piotii.1,#3D3495
Gardnerella_piotii.2,#635CAA
Gardnerella_piotii.3,#8A85BF
Gardnerella_piotii.4,#B1ADD4
Gardnerella_piotii.5,#D8D6E9
Gardnerella_sp003585735.1,#4B439C
Gardnerella_sp003585735.2,#8781BD
Gardnerella_sp003585735.3,#C3C0DE
Gardnerella_sp003585845.1,#5951A4
Gardnerella_sp003585845.2,#6D66AF
Gardnerella_sp003585845.3,#827CBA
Gardnerella_sp003585845.4,#9792C6
Gardnerella_sp003585845.5,#ACA8D1
Gardnerella_sp003585845.6,#C0BDDC
Gardnerella_sp003585845.7,#D5D3E8
Gardnerella_sp003585845.8,#EAE9F3
Gardnerella_spNov1,#6760AB
Gardnerella_spNov2.1,#746EB3
Gardnerella_spNov2.2,#B9B6D9
Gardnerella_swidsinkii.1,#827DBA
Gardnerella_swidsinkii.2,#ABA8D1
Gardnerella_swidsinkii.3,#D5D3E8
Gardnerella_vaginalis.1,#908BC2
Gardnerella_vaginalis.2,#C7C5E0
Gardnerella_vaginalis_A.1,#9E99CA
Gardnerella_vaginalis_A.2,#BEBBDB
Gardnerella_vaginalis_A.3,#DEDDED
Gardnerella_vaginalis_B.1,#ACA8D1
Gardnerella_vaginalis_B.2,#C7C5E0
Gardnerella_vaginalis_B.3,#E3E2EF
Gardnerella_vaginalis_C.1,#B9B6D9
Gardnerella_vaginalis_C.2,#D0CEE5
Gardnerella_vaginalis_C.3,#E7E6F2
Gardnerella_vaginalis_D.1,#C7C5E0
Gardnerella_vaginalis_D.2,#D2D0E6
Gardnerella_vaginalis_D.3,#DDDCEC
Gardnerella_vaginalis_D.4,#E8E7F2
Gardnerella_vaginalis_D.5,#F3F3F8
Gardnerella_vaginalis_E.1,#D5D3E8
Gardnerella_vaginalis_E.2,#EAE9F3
Gardnerella_vaginalis_F.1,#E3E2EF
Gardnerella_vaginalis_F.2,#ECEBF4
Gardnerella_vaginalis_F.3,#F5F5F9
Gardnerella_vaginalis_H.1,#F1F0F7
Gardnerella_vaginalis_H.2,#F4F3F9
Gardnerella_vaginalis_H.3,#F8F7FB
Gardnerella_vaginalis_H.4,#FBFBFD
Gemella_asaccharolytica.1,#8c8c8c
Gemella_asaccharolytica.2,#8c8c8c
