domTaxa,color
Lactobacillus_crispatus_1,#FE0308
Lactobacillus_crispatus_2,#FC252B
Lactobacillus_crispatus_3,#FB484E
Lactobacillus_crispatus_4,#FA6B71
Lactobacillus_crispatus_5,#F88D94
Lactobacillus_crispatus_6,#F7B0B7
Lactobacillus_crispatus_7,#F6D3DA
Lactobacillus_crispatus_8,#F6D3DA
Lactobacillus_gasseri_1,#86C61A
Lactobacillus_gasseri_2,#B4DB29
Lactobacillus_iners_1,#FF7200
Lactobacillus_iners_2,#FD810F
Lactobacillus_iners_2,#FC911E
Lactobacillus_iners_3,#FBA12D
Lactobacillus_iners_4,#F9B13C
Lactobacillus_iners_6,#F8C14B
Lactobacillus_iners_7,#F7D15A
Lactobacillus_iners_8,#f7d15a
Lactobacillus_jensenii_1,#FAE50D
Lactobacillus_jensenii_2,#F8E71D
Lactobacillus_jensenii_3,#F7EA2D
Lactobacillus_jensenii_4,#F3F46E
Lactobacillus_mulieris_1,#989898
Lactobacillus_paragasseri_1,#989898
Lactobacillus_paragasseri_3,#989898
Limosilactobacillus_oris,#989898
Gardnerella_vaginalis_1,
Gardnerella_vaginalis_2,
Gardnerella_vaginalis_C_1,
Gardnerella_vaginalis_C_2,
Gardnerella_vaginalis_C_3,
Gardnerella_vaginalis_H_1,
Gardnerella_swidsinkii_1,
Gardnerella_piotii_1,
Gardnerella_piotii_2,
Bifidobacterium_breve_2,
UBA629_sp005465875_1,#448A73
UBA629_sp005465875_3,
MultiGenera,#989898
